Part No,Lot No,Sample,Panel ID,Criterion internal,Criterion CofC,Position,PTH,Measuring point,Measuring value,LSL,USL,LCL,UCL,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 2,M 6,17.79,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 2,M 1,17.79,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 2,M 2,15.49,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 2,M 3,16.47,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 2,M 4,17.46,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 2,M 5,15.16,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 2,M 6,17.79,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 5,PTH 2,M 1,18.78,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 5,PTH 2,M 2,15.49,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 5,PTH 2,M 3,16.80,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 5,PTH 2,M 4,16.80,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 5,PTH 2,M 5,15.49,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 5,PTH 2,M 6,18.45,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 3,M 1,17.46,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 3,M 2,15.82,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 3,M 3,15.82,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 3,M 4,15.49,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 3,M 5,16.14,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 1,PTH 3,M 6,17.13,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 3,M 1,18.45,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 3,M 2,19.77,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 3,M 3,16.14,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 3,M 4,15.82,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 3,M 5,16.14,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 2,PTH 3,M 6,16.80,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 3,M 1,17.13,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 3,M 2,16.47,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 3,M 3,16.47,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 3,M 4,15.82,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 3,M 5,17.13,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 3,PTH 3,M 6,16.80,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 3,M 1,18.45,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 3,M 2,16.47,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 3,M 3,17.46,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 3,M 4,17.46,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 3,M 5,16.47,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 4,PTH 3,M 6,19.44,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 5,PTH 3,M 1,19.11,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 5,PTH 3,M 2,15.16,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 5,PTH 3,M 3,16.80,12,24,13.8,22.2,,
AMPC0000,605000251542,Sample 2,27,PTH Kupferdicke MTH,PTH wall thickness MTH,Pos 5,PTH 3,M 4,16.80,12,24,13.8,22.2,,
